customer_id,region,customer_segment,plan_type,monthly_fee,data_usage_gb,call_minutes,overage_charges,complaints_count,service_downtime_minutes,payment_delay_days,churn_risk_score,snapshot_month
0,Giza,enterprise,premium,759.0,57.10791250617235,409.4760098612604,35,1,10.831731561816282,0,0.0561657786956145,2026-01
1,Alex,consumer,unlimited,993.0,71.93567180519025,423.09719740916785,45,1,-4.391058150560234,3,0.174895085565497,2026-01
2,Giza,enterprise,premium,795.0,56.25516664494763,366.59694856969253,69,2,17.066008536413385,5,0.15485072230656696,2026-01
3,Cairo,consumer,unlimited,791.0,34.67671707986603,287.0595690881983,61,1,14.663511961575132,3,0.22183148079394666,2026-01
4,Giza,consumer,unlimited,805.0,43.07801422738725,305.33258228068996,44,3,18.237143380742413,8,0.35192868593276905,2026-01
5,Giza,consumer,unlimited,951.0,48.265275764176394,275.9117043528569,81,0,5.214780096325725,2,0.08661646213012761,2026-01
6,Alex,consumer,unlimited,714.0,21.864848416902245,190.6574288890962,89,1,26.3630510834517,7,0.33798627786957325,2026-01
7,Alex,enterprise,premium,706.5,36.55497225306047,291.04097435944465,101,2,34.689412854323926,9,0.1920262290146625,2026-01
8,Alex,consumer,basic,196.0,64.5944530063368,363.64763711167535,22,3,34.95434252883474,21,0.4554168887293794,2026-01
9,Cairo,consumer,unlimited,762.0,49.102741045074964,376.8939013134684,19,4,37.94280843008586,6,0.3638538351205064,2026-01
10,Cairo,enterprise,unlimited,1329.0,60.57471966999081,328.87387020729085,21,2,5.330321148204739,4,0.10804411081784333,2026-01
11,Giza,SME,unlimited,827.0,39.469203591839715,273.78702827217853,57,0,16.078918468678424,6,0.093548263043595,2026-01
12,Alex,consumer,basic,186.0,33.55601307077967,373.190745754081,6,1,13.339393797695713,6,0.1974460218069996,2026-01
13,Cairo,consumer,unlimited,967.0,49.7217379323254,166.11963024078216,37,0,9.274681655643423,5,0.16908516795705913,2026-01
14,Cairo,consumer,basic,246.0,71.5027323093488,385.26349668394437,86,2,-4.987591416387112,15,0.2161954824337688,2026-01
15,Giza,consumer,unlimited,993.0,71.04191466404149,187.85191497661754,33,4,25.868570938002705,0,0.1798921701869582,2026-01
16,Alex,SME,basic,168.0,63.312674216244034,348.438650467814,68,1,12.797020071411868,4,0.19914431024831977,2026-01
17,Delta,SME,premium,584.0,44.64882461347709,344.4897438827172,126,3,36.52632733102389,11,0.3214231128421381,2026-01
18,Cairo,SME,premium,436.0,47.79581910619441,314.4498378992176,53,1,29.64810582328435,5,0.2201978370710067,2026-01
19,UpperEgypt,SME,unlimited,812.0,54.39608709948022,242.85188655789057,69,4,46.38929413373708,0,0.3552144325369813,2026-01
20,Cairo,consumer,unlimited,834.0,35.60158051829141,388.39425747601194,71,6,26.342402962642897,0,0.35065897543739455,2026-01
21,UpperEgypt,consumer,premium,407.0,68.1407295602995,343.0368002953596,48,4,56.813065908740896,0,0.3781165548697829,2026-01
22,Cairo,consumer,basic,198.0,23.251234067517142,280.54924316743876,60,3,23.272233863658663,4,0.2870974610944153,2026-01
23,Alex,enterprise,unlimited,1222.5,37.29809422897392,178.81222202513084,12,2,15.534850479329789,6,0.23681045905357104,2026-01
24,Alex,consumer,premium,423.0,59.526688263529685,213.58393039676116,14,0,6.943024459589095,0,0.1836200079041131,2026-01
25,Cairo,SME,premium,438.0,63.576829399348384,251.68765020123772,76,2,23.044491198708524,5,0.25639224133485694,2026-01
26,Delta,SME,basic,165.0,51.02526876655743,267.2472935542754,36,3,46.67457187351899,0,0.3797173214091442,2026-01
27,Delta,SME,unlimited,879.0,20.12693320202879,334.0820693467202,65,2,17.50457470032039,4,0.3034137644030371,2026-01
28,Cairo,consumer,basic,248.0,70.45153236427556,366.30127820839,31,2,20.151432782598643,10,0.2544693158176121,2026-01
29,Giza,consumer,premium,516.0,47.96423926522652,236.51959858619114,74,2,16.315500109133033,4,0.1805884720497467,2026-01
30,Cairo,consumer,basic,150.0,81.8323429551895,382.59722084409174,28,0,4.806300340459867,11,0.1224912984068709,2026-01
31,Cairo,consumer,unlimited,793.0,56.657291422193424,361.97072427434694,19,1,10.73069528421917,0,0.08610176455044138,2026-01
32,Giza,consumer,unlimited,709.0,50.02720416792015,360.4748225433322,54,4,39.335426294299914,7,0.45752117201363335,2026-01
33,UpperEgypt,SME,basic,233.0,21.539345262670135,402.4432609341971,52,4,16.61839586674403,8,0.31045731929364295,2026-01
34,UpperEgypt,enterprise,unlimited,1114.5,36.753820122807,244.04975612828144,83,2,18.97789342547481,0,0.16037021974896865,2026-01
